id,Question 1{},Question 2{},Question 3{},Question 4{},Question 5{},Question 6{},Question 7{},Question 8{},Question 9{},Question 10{},Question 11{},Question 12{}
171,A,B,B,A,NV,NV,NV,NV,NV,NV,NV,NV
172,B,B,D,A,D,C,D,A,A,C,B,C
173,A,C,D,B,E,C,A,A,A,A,C,C
174,A,A,D,B,D,C,B,A,A,B,B,A
175,A,B,D,C,A,A,C,B,A,A,B,B
176,A,B,D,B,D,C,A,A,A,A,B,C
177,A,A,A,A,A,A,A,NV,A,A,A,B
178,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
179,A,A,B,C,A,A,C,B,A,B,B,C
180,A,B,B,NV,A,A,E,A,B,C,B,C
181,A,A,D,A,B,C,B,A,B,B,B,C
182,A,A,C,B,D,C,B,A,A,A,B,C
183,A,B,D,A,B,B,E,B,A,A,B,B
184,A,A,D,A,A,B,B,B,A,A,C,C
185,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
186,B,A,D,A,B,C,A,A,B,A,B,C
187,A,A,D,NV,NV,NV,NV,NV,A,A,A,C
188,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
189,B,A,D,B,D,C,A,A,A,A,B,A
190,A,A,D,A,A,B,D,B,NV,B,B,C
191,B,C,C,B,D,A,C,A,A,B,A,C
192,B,B,D,A,A,C,B,B,A,B,B,C
193,A,B,D,C,B,B,E,B,A,B,B,C
194,A,B,C,B,E,E,C,B,B,A,E,C
195,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
196,A,B,C,C,A,B,D,B,B,C,B,C
197,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
198,A,A,C,C,A,A,C,B,A,A,B,C
199,A,A,C,NV,NV,NV,NV,NV,NV,NV,NV,NV
200,A,A,A,B,A,A,A,B,A,B,B,A
201,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
202,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
203,A,B,C,B,D,C,A,A,A,A,B,C
204,B,C,D,C,C,B,D,B,A,A,B,E
205,B,B,C,NV,NV,NV,NV,NV,A,C,C,C
206,B,C,C,B,B,C,A,B,B,C,B,C
207,A,A,D,NV,NV,NV,NV,NV,NV,NV,NV,NV
208,A,A,D,A,B,B,C,B,B,A,E,A
209,A,A,C,B,C,A,B,A,A,A,B,C
210,B,B,D,NV,NV,NV,NV,NV,NV,A,B,B
211,A,B,D,NV,NV,NV,NV,NV,NV,NV,NV,NV
212,B,B,C,C,A,A,B,B,A,A,B,D
213,A,A,D,A,B,C,C,B,A,A,B,C
214,B,A,C,A,C,C,B,A,A,A,B,C
215,A,A,D,C,B,B,D,B,NV,NV,NV,NV
216,A,B,D,A,C,C,A,A,A,C,B,B
217,B,B,C,B,D,A,A,A,A,B,B,A
218,B,C,C,B,C,A,A,A,A,B,B,C
219,B,B,D,NV,C,C,E,B,A,C,B,D
220,B,B,C,B,NV,NV,NV,NV,A,B,B,A
221,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
222,A,A,C,NV,NV,NV,NV,NV,A,A,A,C
223,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
224,A,A,D,A,A,C,A,C,A,B,E,C
225,B,A,C,C,C,A,D,B,A,A,C,C
226,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
227,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
228,A,B,D,A,D,B,E,B,A,B,B,C
229,B,A,C,A,D,B,A,A,B,B,B,A
230,B,NV,A,A,B,B,C,B,A,A,B,A
231,A,A,C,A,C,B,D,B,A,A,A,C
232,A,A,C,NV,A,C,NV,B,A,B,A,A
233,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
234,A,B,A,A,A,C,A,C,A,A,B,C
235,A,A,D,A,D,C,B,A,A,C,B,C
236,B,B,D,A,C,C,C,A,A,C,B,C
237,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
238,B,A,D,B,C,A,A,A,A,B,B,D
239,B,C,C,C,A,A,C,B,A,A,B,C
240,A,A,C,C,B,A,C,B,A,C,B,C
241,B,A,D,B,C,C,A,A,A,A,B,C
242,A,A,D,C,C,A,D,A,C,A,B,C
243,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
244,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
245,A,C,D,C,B,B,D,NV,A,B,C,B
246,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
247,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
248,B,A,D,B,D,A,B,A,A,A,B,E
249,A,B,C,C,B,A,C,B,A,B,B,C
250,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
251,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
252,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
253,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV
